10/05/18, AM : 5:00-11:59,(Heavy Traffic=960, Other=256, Mechanical Problem=69), PM : 12:00-19:00,(Heavy Traffic=351, Late return from Field Trip=103, Other=65)
17/05/18, AM : 5:00-11:59,(Heavy Traffic=1225, Other=206, Mechanical Problem=92), PM : 12:00-19:00,(Heavy Traffic=294, Late return from Field Trip=69, Other=33)
24/05/18, AM : 5:00-11:59,(Heavy Traffic=907, Other=175, Mechanical Problem=73), PM : 12:00-19:00,(Heavy Traffic=226, Late return from Field Trip=116, Other=44)
31/05/18, AM : 5:00-11:59,(Heavy Traffic=1218, Other=240, Mechanical Problem=104), PM : 12:00-19:00,(Heavy Traffic=264, Late return from Field Trip=131, Other=62)
07/06/18, AM : 5:00-11:59,(Heavy Traffic=906, Other=179, Mechanical Problem=68), PM : 12:00-19:00,(Heavy Traffic=288, Late return from Field Trip=122, Other=72)
14/06/18, AM : 5:00-11:59,(Heavy Traffic=752, Other=134, Mechanical Problem=44), PM : 12:00-19:00,(Heavy Traffic=112, Late return from Field Trip=64, Mechanical Problem=34)
21/06/18, AM : 5:00-11:59,(Heavy Traffic=124, Other=34, Mechanical Problem=9)
30/08/18, AM : 5:00-11:59,(Heavy Traffic=359, Other=81, Mechanical Problem=49), PM : 12:00-19:00,(Heavy Traffic=31, Mechanical Problem=7, Other=6)
06/09/18, AM : 5:00-11:59,(Heavy Traffic=1125, Other=162, Mechanical Problem=111), PM : 12:00-19:00,(Heavy Traffic=109, Other=88, Mechanical Problem=16)
13/09/18, AM : 5:00-11:59,(Heavy Traffic=1699, Other=191, Mechanical Problem=113), PM : 12:00-19:00,(Heavy Traffic=399, Other=65, Mechanical Problem=28)
20/09/18, AM : 5:00-11:59,(Heavy Traffic=1633, Other=207, Mechanical Problem=80), PM : 12:00-19:00,(Heavy Traffic=417, Other=39, Mechanical Problem=17)
27/09/18, AM : 5:00-11:59,(Heavy Traffic=682, Other=64, Weather Conditions=57), PM : 12:00-19:00,(Heavy Traffic=202, Other=38, Mechanical Problem=11)
04/10/18, AM : 5:00-11:59,(Heavy Traffic=463, Other=66, Mechanical Problem=37), PM : 12:00-19:00,(Heavy Traffic=197, Other=22, Mechanical Problem=14)
11/10/18, AM : 5:00-11:59,(Heavy Traffic=1387, Other=180, Mechanical Problem=110), PM : 12:00-19:00,(Heavy Traffic=491, Other=57, Mechanical Problem=53)
18/10/18, AM : 5:00-11:59,(Heavy Traffic=2245, Other=292, Mechanical Problem=156), PM : 12:00-19:00,(Heavy Traffic=754, Other=92, Late return from Field Trip=85)
25/10/18, AM : 5:00-11:59,(Heavy Traffic=1750, Other=317, Problem Run=124), PM : 12:00-19:00,(Heavy Traffic=599, Late return from Field Trip=90, Other=81)
01/11/18, AM : 5:00-11:59,(Heavy Traffic=2025, Other=321, Mechanical Problem=144), PM : 12:00-19:00,(Heavy Traffic=719, Other=77, Late return from Field Trip=33)
08/11/18, AM : 5:00-11:59,(Heavy Traffic=2359, Other=284, Weather Conditions=142), PM : 12:00-19:00,(Heavy Traffic=697, Other=63, Late return from Field Trip=61)
15/11/18, AM : 5:00-11:59,(Heavy Traffic=2853, Other=446, Weather Conditions=423), PM : 12:00-19:00,(Heavy Traffic=921, Weather Conditions=143, Other=97)
22/11/18, AM : 5:00-11:59,(Heavy Traffic=1914, Other=266, Mechanical Problem=122), PM : 12:00-19:00,(Heavy Traffic=704, Late return from Field Trip=75, Other=53)
29/11/18, AM : 5:00-11:59,(Heavy Traffic=1448, Other=217, Mechanical Problem=99), PM : 12:00-19:00,(Heavy Traffic=516, Other=69, Late return from Field Trip=49)
06/12/18, AM : 5:00-11:59,(Heavy Traffic=16, Other=8, Accident=1), PM : 12:00-19:00,(Heavy Traffic=5, Other=2)
13/12/18, AM : 5:00-11:59,(Other=12, Heavy Traffic=10, Accident=1), PM : 12:00-19:00,(Heavy Traffic=2, Flat Tire=1, Accident=1)
