01/09/15, AM : 5:00-11:59,(Heavy Traffic=4, Other=3)
15/04/16, AM : 5:00-11:59,(Heavy Traffic=140, Other=39, Won`t Start=4),PM : 12:00-19:00,(Heavy Traffic=28, Late return from Field Trip=22, Other=12)
18/04/16, AM : 5:00-11:59,(Heavy Traffic=143, Other=53, Mechanical Problem=12),PM : 12:00-19:00,(Heavy Traffic=22, Other=9, Late return from Field Trip=8)
19/04/16, AM : 5:00-11:59,(Heavy Traffic=109, Other=38, Mechanical Problem=12),PM : 12:00-19:00,(Heavy Traffic=26, Late return from Field Trip=12, Other=7)
20/04/16, AM : 5:00-11:59,(Heavy Traffic=111, Other=71, Mechanical Problem=7),PM : 12:00-19:00,(Heavy Traffic=33, Late return from Field Trip=19, Other=9)
21/04/16, AM : 5:00-11:59,(Heavy Traffic=110, Other=42, Won`t Start=8),PM : 12:00-19:00,(Late return from Field Trip=31, Heavy Traffic=30, Other=6)
22/04/16, AM : 5:00-11:59,(Heavy Traffic=105, Other=35, Won`t Start=9),PM : 12:00-19:00,(Heavy Traffic=44, Late return from Field Trip=27, Mechanical Problem=7)
25/04/16, AM : 5:00-11:59,(Heavy Traffic=2),PM : 12:00-19:00,(Heavy Traffic=2)
26/04/16, AM : 5:00-11:59,(Won`t Start=1)
27/04/16, AM : 5:00-11:59,(Heavy Traffic=1, Other=1),PM : 12:00-19:00,(Mechanical Problem=1)
28/04/16, AM : 5:00-11:59,(Flat Tire=2, Mechanical Problem=1, Heavy Traffic=1)
29/04/16, AM : 5:00-11:59,(Won`t Start=2, Mechanical Problem=1)
02/05/16, AM : 5:00-11:59,(Heavy Traffic=172, Other=60, Won`t Start=20),PM : 12:00-19:00,(Heavy Traffic=24, Won`t Start=5, Late return from Field Trip=5)
03/05/16, AM : 5:00-11:59,(Heavy Traffic=243, Weather Conditions=72, Other=40),PM : 12:00-19:00,(Heavy Traffic=24, Other=9, Late return from Field Trip=7)
04/05/16, AM : 5:00-11:59,(Heavy Traffic=159, Weather Conditions=24, Other=17),PM : 12:00-19:00,(Heavy Traffic=24, Late return from Field Trip=21, Other=9)
05/05/16, AM : 5:00-11:59,(Heavy Traffic=98, Other=32, Won`t Start=9),PM : 12:00-19:00,(Heavy Traffic=18, Late return from Field Trip=13, Other=4)
