01/06/18,Nassau County,34.77777777777778, Staten Island,23.984251968503937, Westchester,36.082352941176474, Rockland County,33.0, New Jersey,47.85454545454545, Bronx,36.65004616805171, Connecticut,53.0, Brooklyn,38.88386433710175, Manhattan,35.033411033411035, Queens,37.30091185410334
01/09/18,New Jersey,35.06060606060606, Manhattan,39.116191130972844, Staten Island,29.608695652173914, Rockland County,26.64864864864865, Westchester,31.44, Nassau County,38.46236559139785, All Boroughs,22.375, Connecticut,18.0, Queens,33.91084093211753, Bronx,30.39059080962801, Brooklyn,36.23837902264601
01/10/18,Westchester,32.30414746543779, Brooklyn,37.526246140273486, Staten Island,28.37984496124031, All Boroughs,11.75, New Jersey,36.7906976744186, Manhattan,41.001784519295114, Connecticut,29.181818181818183, Rockland County,46.214285714285715, Queens,40.91832858499525, Nassau County,41.550898203592816, Bronx,33.478878239261626
01/11/18,Westchester,30.561702127659576, Manhattan,40.41523937963587, Nassau County,39.52370203160271, Connecticut,37.285714285714285, New Jersey,41.87837837837838, Bronx,35.937136465324386, Rockland County,27.708333333333332, All Boroughs,8.0, Staten Island,26.371794871794872, Queens,35.68273542600897, Brooklyn,36.172572011215905
01/12/18,Rockland County,48.0, Nassau County,43.625, Staten Island,23.0, Westchester,32.375, All Boroughs,8.0, Queens,36.078947368421055, New Jersey,38.0, Brooklyn,37.11304347826087, Manhattan,40.52671755725191, Bronx,33.9171974522293
01/01/19,Staten Island,27.7875, Bronx,41.4, Manhattan,41.302617029119055, All Boroughs,8.625, Westchester,38.967032967032964, Brooklyn,35.34195291393284, Rockland County,24.25, Connecticut,17.0, Nassau County,38.23157894736842, Queens,35.260299625468164, New Jersey,37.72222222222222
01/02/19,New Jersey,41.43396226415094, Brooklyn,33.5074487895717, Staten Island,28.82051282051282, Westchester,31.152941176470588, Rockland County,45.53333333333333, Bronx,40.327423613730666, All Boroughs,8.0, Connecticut,23.0, Nassau County,36.5, Queens,38.14480077745384, Manhattan,40.64649898028552
01/03/19,Nassau County,35.49112426035503, Manhattan,41.07699619771863, New Jersey,36.04347826086956, Rockland County,45.666666666666664, Westchester,38.98823529411764, Bronx,40.94575645756458, Connecticut,25.5, All Boroughs,15.5, Staten Island,28.60843373493976, Queens,37.614439324116745, Brooklyn,34.51297709923664
01/04/19,New Jersey,38.5, Brooklyn,34.151927437641724, Staten Island,26.181818181818183, Connecticut,8.0, Rockland County,38.0, Westchester,25.360655737704917, All Boroughs,10.25, Queens,36.301435406698566, Bronx,37.5861801242236, Manhattan,35.215702479338844, Nassau County,29.988372093023255
01/05/19,Brooklyn,34.479887085391674, Bronx,38.74514200298954, Westchester,27.232876712328768, All Boroughs,9.875, New Jersey,38.36363636363637, Manhattan,34.915945611866505, Rockland County,38.0, Connecticut,38.0, Queens,34.27884615384615, Staten Island,30.805687203791468, Nassau County,33.6198347107438
01/06/19,New Jersey,26.333333333333332, Bronx,42.64089912280702, Westchester,31.595744680851062, Staten Island,33.4126213592233, All Boroughs,8.0, Queens,32.037837837837834, Rockland County,31.076923076923077, Connecticut,38.0, Nassau County,34.13475177304964, Brooklyn,33.27299016772701, Manhattan,36.232244686365995
01/09/19,Queens,39.497201492537314, Bronx,30.59024223814398, New Jersey,33.7710843373494, All Boroughs,12.017857142857142, Staten Island,30.19047619047619, Westchester,33.11708860759494, Rockland County,24.428571428571427, Manhattan,40.558038147138966, Nassau County,33.95392278953923, Brooklyn,32.90050377833753
01/10/19,Brooklyn,30.705963938973646, Westchester,34.171052631578945, Rockland County,24.666666666666668, All Boroughs,16.761904761904763, New Jersey,30.913793103448278, Staten Island,29.16778523489933, Queens,34.258636788048555, Connecticut,31.571428571428573, Manhattan,41.99586435070306, Nassau County,35.60101375814627, Bronx,29.18684047175667
01/11/19,Westchester,41.2246835443038, Nassau County,34.34970059880239, All Boroughs,19.875, Rockland County,31.75, New Jersey,30.79245283018868, Connecticut,39.666666666666664, Bronx,31.16176005064894, Brooklyn,31.159630975677942, Manhattan,40.36128597122302, Staten Island,26.32155477031802, Queens,33.05733130390664
